"rsquare","key","gh1x","pf02x","pf04x","rp2x","rp3x","re2x","re3x","bp2x","mh3x","vt2x","mh4x","sf2x","cons"
0.79520416259765,395,0.02760495245456,-0.04262486100196,-0.04968190193176,0,0,0.24509501457214,0.11661195755004,-0.0013659549877,0,0.14009749889373,0,0,19.411636352539
0.93974590301513,396,0.02424630522727,-0.04264783859252,-0.03114365041256,0,0,0.15514266490936,0.08864378929138,-0.01468701660633,0,0,0.17800974845886,0.1311889886856,11.9507293701171
0.89092111587524,397,0.04790484905242,-0.0285707116127,-0.02995619177818,0,0,0.18348765373229,0.10757440328598,0.01116344332695,0,0,0.2112945318222,0,11.727684020996
0.84043788909912,398,0.03375485539436,-0.05049523711204,-0.03536981344223,0,0,0.21330082416534,0.09807109832763,-0.01468575000762,0,0,0,0.18266630172729,16.7982940673828
0.751389503479,399,0.07224440574645,-0.03166455030441,-0.03490224480629,0,0,0.27324628829956,0.12964606285095,0.02424836158752,0,0,0,0,17.6994476318359
0.9909119606018,400,-0.01407085359096,-0.04908379912376,-0.03984785079956,0,0,0.12023133039474,0.07469320297241,0,0.11085522174835,0.05335122346878,0.15315067768096,0.09699994325637,12.2937927246093
0.96284198760986,401,0.00044903345406,-0.03672420978546,-0.03868770599365,0,0,0.13668954372406,0.08746761083602,0,0.12554585933685,0.06814259290695,0.17365992069244,0,12.4382705688476
0.91627931594848,402,-0.01103260368108,-0.05456936359405,-0.04264840483665,0,0,0.15866684913635,0.07931238412857,0,0.15072298049926,0.04730346798896,0,0.1324508190155,16.145751953125
0.86603164672851,403,0.01041088253259,-0.03792455792427,-0.04157125949859,0,0,0.18991529941558,0.09865999221801,0,0.17969667911529,0.06745845079421,0,0,17.0521697998046
0.98391246795654,404,-0.00056010577827,-0.04422327876091,-0.03333908319473,0,0,0.12294149398803,0.07675576210021,0,0.13007044792175,0,0.15156984329223,0.10363173484802,11.5760879516601
0.95155811309814,405,0.01933303475379,-0.02929854393005,-0.03011308610439,0,0,0.14169490337371,0.0912976861,0,0.15188312530517,0,0.17344200611114,0,11.5133361816406
0.91118097305297,406,0.00093290070071,-0.05021026730537,-0.0368492603302,0,0,0.16073882579803,0.08111023902893,0,0.16743385791778,0,0,0.13802862167358,15.4692306518554
0.85608100891113,407,0.02910210192203,-0.03058123588562,-0.03308919072151,0,0,0.19486415386199,0.10246920585632,0,0.20576572418212,0,0,0,16.119873046875
0.96196746826171,408,-0.00790836662054,-0.05333086848259,-0.04418063163757,0,0,0.14140200614929,0.08129614591598,0,0,0.09203153848648,0.1739706993103,0.11026138067245,13.0257568359375
0.9262580871582,409,0.00984978675842,-0.03968665003776,-0.04351630806922,0,0,0.16375637054443,0.09712928533554,0,0,0.11512678861618,0.20097303390502,0,13.2929458618164
0.86491918563842,410,-0.00163472723215,-0.06178313493728,-0.04944765567779,0,0,0.19664371013641,0.08976012468338,0,0,0.10154843330383,0,0.15849387645721,17.8989715576171
0.79519891738891,411,0.02732068300247,-0.04287195205688,-0.04980814456939,0,0,0.24495100975036,0.11649364233016,0,0,0.13979125022888,0,0,19.3970642089843
0.93903350830078,412,0.02085943520069,-0.04520282149314,-0.0328274667263,0,0,0.15402007102966,0.08764117956161,0,0,0,0.17800772190093,0.12790656089782,11.8520584106445
0.89051294326782,413,0.0510683953762,-0.02625915408134,-0.02859371900558,0,0,0.18494403362274,0.10874807834625,0,0,0,0.21195805072784,0,11.8017425537109
0.83980083465576,414,0.03036880493164,-0.05305102467536,-0.03705424070358,0,0,0.21218228340148,0.09707051515579,0,0,0,0,0.17938733100891,16.6988372802734
0.74976062774658,415,0.07931345701217,-0.02664802968502,-0.03196787834167,0,0,0.27705454826354,0.13236498832702,0,0,0,0,0,17.8994903564453
0.98484802246093,416,-0.00493766739964,-0.04185733199119,-0.03662142157554,0,0,0.1769653558731,0,-0.03319996595382,0.11684089899063,0.06051170825958,0.15361404418945,0.10880529880523,13.0352783203125
0.95054817199707,417,0.00865467637777,-0.03076656162738,-0.03701248764991,0,0,0.20399582386016,0,-0.01568599045276,0.13218975067138,0.07447868585586,0.17678606510162,0,13.1219940185546
