"rsquare","key","gh1x","pf02x","pf04x","rp2x","rp3x","re2x","re3x","bp2x","mh3x","vt2x","mh4x","sf2x","cons"
0.92529010772705,3330,0,0,-0.04955834150314,0,-0.0539621412754,0.16067588329315,0.09445214271545,-0.02951094508171,0.14964914321899,0.06956416368484,0,0.14340984821319,13.240966796875
0.85290765762329,3331,0,0,-0.04586002230644,0,-0.03150030970573,0.19214248657226,0.11233574151992,-0.00738576427102,0.18177187442779,0.09388351440429,0,0,13.3501815795898
0.97669267654418,3332,0,0,-0.03896811604499,0,-0.03703570365905,0.12746489048004,0.0790981054306,-0.0232655853033,0.12888121604919,0,0.15392899513244,0.11190301179885,10.633560180664
0.93261241912841,3333,0,0,-0.03356036543846,0,-0.01644504070282,0.14211225509643,0.08825498819351,-0.00555580481886,0.14720201492309,0,0.19139242172241,0,10.110725402832
0.91005277633667,3334,0,0,-0.03995159268379,0,-0.04380652308464,0.16484010219573,0.09457314014434,-0.02051812410354,0.17024862766265,0,0,0.15360784530639,12.55859375
0.82684564590454,3335,0,0,-0.03222036361694,0,-0.01524379104375,0.20112776756286,0.11433434486389,0.00724231451749,0.21357583999633,0,0,0,12.3929290771484
0.95138025283813,3336,0,0,-0.05014812946319,0,-0.05096021294593,0.13899302482604,0.08569604158401,-0.02118986845016,0,0.09173899888992,0.18100917339324,0.11562210321426,12.0057678222656
0.90583562850952,3337,0,0,-0.04718980193138,0,-0.03282707929611,0.15518927574157,0.09601658582687,-0.00379302725195,0,0.11183387041091,0.22260296344757,0,11.7170867919921
0.85665369033813,3338,0,0,-0.05384576320648,0,-0.06300294399261,0.19235241413116,0.1082050204277,-0.01442075520753,0,0.11406254768371,0,0.17253029346466,14.8068618774414
0.75705432891845,3339,0,0,-0.05050468444824,0,-0.03730291128158,0.24121904373168,0.13482320308685,0.01753790676593,0,0.15714538097381,0,0,15.2606201171875
0.92224597930908,3340,0,0,-0.03706243634223,0,-0.03742250800132,0.14722073078155,0.08691334724426,-0.00594905018806,0,0,0.19401359558105,0.13167023658752,11.1500854492187
0.86364364624023,3341,0,0,-0.03024141490459,0,-0.01265061646699,0.16847205162048,0.09941416978836,0.01841686666011,0,0,0.24637520313262,0,10.5644760131835
0.81569194793701,3342,0,0,-0.03767162561416,0,-0.04702773690223,0.20788657665252,0.11193794012069,0.0054884776473,0,0,0,0.19827103614807,13.9312362670898
0.68579196929931,3343,0,0,-0.02625231444835,0,-0.00840985774993,0.27548146247863,0.14657056331634,0.05374959111213,0,0,0,0,13.957176208496
0.98597240447998,3344,0,0,-0.0520115494728,0,-0.05426189303398,0.12395602464675,0.07872033119201,0,0.10777288675308,0.05780965089797,0.1500676870346,0.09894227981567,10.9585952758789
0.95092487335205,3345,0,0,-0.04721489548683,0,-0.03456604480743,0.13654470443725,0.08715939521789,0,0.12161290645599,0.07395184040069,0.18271315097808,0,10.7897109985351
0.92207813262939,3346,0,0,-0.05368879437446,0,-0.06143561005592,0.15998411178588,0.09381628036499,0,0.14619266986846,0.0651244521141,0,0.13881623744964,12.929817199707
0.85271739959716,3347,0,0,-0.04695010185241,0,-0.03360158205032,0.19170880317687,0.11202698945999,0,0.18062365055084,0.09254628419876,0,0,13.2690963745117
